When,When is the movie starting?,¿Cuándo empieza la película?,0,0,0
When,When is the park opening?,¿Cuándo abre el parque?,0,0,0
When,When is the class finishing?,¿Cuándo termina la clase?,0,0,0
When,When is the game starting?,¿Cuándo comienza el juego?,0,0,0
Why ,Why is the sky blue?,¿Porque el cielo es azul?,0,0,0
Why ,Why are you late?,¿Por qué llegas tarde?,0,0,0
Why ,Why is he angry?,¿Por qué está enojado?,0,0,0
Why ,Why is she crying?,¿Por qué ella está llorando?,0,0,0
Why ,Why is the traffic so heavy?,¿Por qué el tráfico es tan pesado?,0,0,0
Why ,Why is the temperature so high?,¿Por qué la temperatura es tan alta?,0,0,0
Why ,Why is the weather so cold?,¿Por qué el clima es tan frío?,0,0,0
Why ,Why is the road closed?,¿Por qué está cerrada la carretera?,0,0,0
Why ,Why is the store closed?,¿Por qué está cerrada la tienda?,0,0,0
Why ,Why is the Internet slow?,¿Por qué Internet es lento?,0,0,0
How ,How is the weather today?,¿Cómo está el clima hoy?,0,0,0
How ,How is the food?,¿Como esta la comida?,0,0,0
How ,How are you feeling?,¿Como te sientes?,0,0,0
How ,How is your day going?,¿Cómo va tu día?,0,0,0
How ,How is the new job?,¿Cómo es el nuevo trabajo?,0,0,0
How ,How is the new school?,¿Cómo es la nueva escuela?,0,0,0
How ,How is your family?,¿Cómo está tu familia?,0,0,0
How ,How is the new pet?,¿Cómo es la nueva mascota?,0,0,0
How ,How is the new house?,¿Cómo es la nueva casa?,0,0,0
How ,How is the new car?,¿Cómo es el coche nuevo?,0,0,0
How many,How many people are in the room?,¿Cuántas personas hay en la habitación?,0,0,0
How many,How many books are on the shelf?,¿Cuántos libros hay en el estante?,0,0,0
How many,How many chairs are in the room?,¿Cuántas sillas hay en la habitación?,0,0,0
How many,How many apples are in the basket?,¿Cuántas manzanas hay en la cesta?,0,0,0
How many,How many students are in the class?,¿Cuántos estudiantes hay en la clase?,0,0,0
How many,How many eggs are in the carton?,¿Cuántos huevos hay en el cartón?,0,0,0
How many,How many dollars are in your wallet?,¿Cuántos dólares hay en tu billetera?,0,0,0
How many,How many lights are in the room?,¿Cuántas luces hay en la habitación?,0,0,0
How many,How many dogs are in the park?,¿Cuántos perros hay en el parque?,0,0,0
How many,How many people are at the party?,¿Cuántas personas hay en la fiesta?,0,0,0
How much,How much water is in the bottle?,¿Cuánta agua hay en la botella?,0,0,0
How much,How much sugar is in the cup?,¿Cuánta azúcar hay en la taza?,0,0,0
How much,How much money is in the bank?,¿Cuánto dinero hay en el banco?,0,0,0
How much,How much food is in the fridge?,¿Cuánta comida hay en la nevera?,0,0,0
How much,How much light is in the room?,¿Cuánta luz hay en la habitación?,0,0,0
How much,How much sugar is in the cup?,¿Cuánta azúcar hay en la taza?,0,0,0
How much,How much money is in the bank?,¿Cuánto dinero hay en el banco?,0,0,0
How much,How much gas is in the tank?,¿Cuánta gasolina hay en el tanque?,0,0,0
How much,How much weight did you lose?,¿Cuánto peso perdiste?,0,0,0
How much,How much paint is left in the can?,¿Cuánta pintura queda en la lata?,0,0,0
